hora,estacion,Demanda_m3h
0,Invierno,7698.48
0,Otoño,8449.22
0,Primavera,8256.16
0,Verano,9423.46
1,Invierno,7053.05
1,Otoño,7394.03
1,Primavera,7340.80
1,Verano,8923.85
2,Invierno,6796.36
2,Otoño,6993.39
2,Primavera,6428.17
2,Verano,6983.49
3,Invierno,6985.76
3,Otoño,6936.97
3,Primavera,6413.71
3,Verano,8441.20
4,Invierno,5537.56
4,Otoño,6232.61
4,Primavera,6244.93
4,Verano,6646.30
5,Invierno,6551.66
5,Otoño,7056.90
5,Primavera,6950.90
5,Verano,7632.33
6,Invierno,8981.54
6,Otoño,9435.38
6,Primavera,8954.37
6,Verano,8279.86
7,Invierno,9132.42
7,Otoño,10509.39
7,Primavera,10150.56
7,Verano,9883.93
8,Invierno,10914.55
8,Otoño,11840.77
8,Primavera,11761.19
8,Verano,12158.25
9,Invierno,12745.51
9,Otoño,14596.47
9,Primavera,14332.96
9,Verano,13871.60
10,Invierno,14978.16
10,Otoño,15356.33
10,Primavera,15622.71
10,Verano,16307.27
11,Invierno,15527.93
11,Otoño,16654.04
11,Primavera,17199.76
11,Verano,17498.95
12,Invierno,16023.71
12,Otoño,17287.73
12,Primavera,17032.59
12,Verano,18064.52
13,Invierno,16765.34
13,Otoño,17297.77
13,Primavera,16134.26
13,Verano,18446.98
14,Invierno,15204.53
14,Otoño,15317.05
14,Primavera,15948.82
14,Verano,16682.46
15,Invierno,14595.49
15,Otoño,15354.45
15,Primavera,15150.31
15,Verano,16155.73
16,Invierno,13781.61
16,Otoño,14005.91
16,Primavera,13949.88
16,Verano,14985.30
17,Invierno,12868.22
17,Otoño,14110.07
17,Primavera,13277.71
17,Verano,14775.57
18,Invierno,11951.54
18,Otoño,13744.91
18,Primavera,13252.35
18,Verano,14270.34
19,Invierno,12353.32
19,Otoño,14199.65
19,Primavera,13421.49
19,Verano,14868.08
20,Invierno,11496.58
20,Otoño,13485.70
20,Primavera,13349.93
20,Verano,15160.04
21,Invierno,11537.08
21,Otoño,12956.26
21,Primavera,12802.23
21,Verano,14397.90
22,Invierno,10626.55
22,Otoño,11162.39
22,Primavera,11411.71
22,Verano,13178.60
23,Invierno,8572.67
23,Otoño,9440.72
23,Primavera,8736.26
23,Verano,10970.79
