hora,mean,std,min,max
0,103759.67,8994.08,3605.55,124615.40
1,108289.34,8606.37,3662.94,123942.23
2,113236.79,10002.42,3401.55,129452.28
3,118200.98,10704.82,3401.84,133886.65
4,124694.20,8872.56,3384.06,139007.56
5,129933.09,6345.96,98928.72,143653.51
6,133231.44,6393.70,101433.72,146453.91
7,135583.31,6100.34,104724.84,151836.11
8,135826.77,6641.77,106059.38,153879.78
9,133930.48,6828.19,104718.46,152515.94
10,130214.39,7030.44,100565.57,147917.86
11,125329.04,7082.90,94341.12,142924.13
12,119931.69,7248.17,92833.00,138702.24
13,114511.94,7337.53,82219.66,135424.63
14,110698.23,7549.00,63223.78,131832.89
15,107113.78,9213.39,2982.19,129095.14
16,104721.12,10194.43,3061.10,126512.75
17,103014.67,10481.88,3048.69,126101.06
18,101645.27,10471.05,1101.61,125009.26
19,99925.57,9867.00,1006.80,123401.35
20,98452.86,9680.55,949.93,123182.06
21,97745.14,7917.55,55138.88,124488.88
22,98044.76,7780.94,57731.89,124354.29
23,100554.03,7776.72,60942.92,124548.35
