,error_abs,error_abs,error_abs,error_abs,error
,mean,std,min,max,count
hora,,,,,
0,296.11,296.74,3.94,1640.61,95
1,259.57,206.52,1.49,1161.09,94
2,258.7,284.67,1.58,2024.37,94
3,258.17,193.55,16.08,824.03,94
4,281.17,321.59,6.48,2107.23,95
5,205.27,195.1,11.45,1096.87,94
6,262.62,318.62,0.27,1840.69,94
7,329.23,347.9,2.24,2035.22,92
8,421.79,498.34,9.64,3831.97,93
9,341.68,318.08,9.85,1555.01,91
10,452.97,504.93,16.41,2283.21,92
11,374.53,343.78,2.31,1950.17,92
12,414.35,465.18,8.95,2858.65,94
13,347.17,330.21,2.28,1483.29,94
14,359.51,384.96,0.94,1919.75,94
15,326.55,299.48,7.17,1755.03,94
16,352.43,268.2,0.62,1162.97,96
17,378.82,334.07,1.83,2220.46,96
18,497.04,551.53,2.92,4181.3,95
19,370.61,263.14,1.88,1283.58,95
20,366.59,306.13,13.91,1596.87,94
21,349.46,281.28,4.33,1447.1,93
22,320.09,330.79,1.27,2365.28,94
23,243.16,291.46,2.2,1518.58,97
