feature,importance
temp_extrema_hora_punta,0.0070087053
temp_calor_extremo,0.0018008238
temp_cambio_brusco_6h,0.0016950482
temp_rolling_mean_6h,0.001461052
precip_acum_6h,0.0012238085
hr_muy_baja,0.00091889605
precipitacion,0.0008642972
sensacion_termica,0.000782971
temp_frio_alto,0.0006417029
temp_rolling_mean_24h,0.00063568255
humedad_relativa,0.00059558754
temp_cambio_1h,0.0005575768
temp_rolling_min_24h,0.00047319842
temp_lag_24h,0.00045670822
hr_lag_24h,0.00042932702
temp_lag_1h,0.00039359502
temp_cambio_24h,0.00038112083
hr_muy_alta,0.00036138823
temp_rolling_max_24h,0.00032654626
temp_desviacion_confort,0.0003245579
temp_frio_extremo,0.00030627745
temp_cambio_6h,0.0002815683
temp_amplitud_24h,0.00026927041
temp_lag_168h,0.00025113957
temp_rolling_std_24h,0.00024582542
hr_rolling_mean_24h,0.00024167547
temp_lag_6h,0.00022848495
precip_acum_24h,0.00021440233
temp_calor_moderado,0.00018845654
finde_buen_clima,0.00013799881
temp_cambio_brusco_1h,7.850286e-05
ola_calor,7.4825955e-05
ola_frio,5.628285e-05
temp_calor_alto,4.7491794e-05
temp_frio_moderado,4.5166435e-05
lluvia_intensa,1.51077475e-05
tiene_lluvia,5.3137956e-06
temp_cambio_brusco_24h,0.0
