feature,importance
hour,0.2758973
Demanda_diff_1h,0.14896749
Demanda_diff_24h,0.114977576
hour_cos,0.10289303
Demanda_ratio_vs_24h,0.09424008
Demanda_lag_1h,0.089642696
Demanda_lag_24h,0.083834305
Demanda_rolling_mean_6h,0.044377126
Demanda_rolling_std_6h,0.0074032475
Demanda_lag_168h,0.006578184
temporada_turistica_alta,0.0053834426
day_of_week,0.00261017
Demanda_rolling_mean_24h,0.002588145
Demanda_lag_2h,0.0012816221
precip_acum_6h,0.0012667766
precipitacion,0.00123956
temp_rolling_max_24h,0.0009642069
feriado,0.00082913385
temp_diff_24h,0.0008004335
temp_diff_1h,0.000737853
temp_rolling_mean_6h,0.0007145032
temp_rolling_std_6h,0.0006994056
temperatura,0.0006987014
condiciones_adversas,0.0006802738
temp_lag_1h,0.0006667096
temp_rolling_mean_24h,0.00062551786
temp_lag_168h,0.0006190799
HR_lag_1h,0.00060088496
HR_lag_24h,0.00059703266
HR_rolling_mean_24h,0.0005264439
temp_extremo_calor,0.00052196294
temp_lag_24h,0.0004984638
Demanda_rolling_std_24h,0.0004663673
temp_rolling_std_24h,0.0004613572
precip_acum_24h,0.00044918875
temp_rolling_min_24h,0.00043953286
day_of_week_cos,0.00043335345
day_of_week_sin,0.00042746204
temp_rolling_max_6h,0.0003881836
temp_lag_2h,0.0003692363
hour_sin,0.0003183538
humedad,0.00030543294
sensacion_termica,0.00029006705
month,0.0002838724
temp_rolling_min_6h,0.00026095533
temp_templado,0.00024771824
temp_extrema_tarde,0.0002228254
HR_rolling_std_24h,0.0002166927
hay_lluvia,0.00011852735
HR_muy_alta,0.00011556449
HR_muy_baja,9.333229e-05
temp_cambio_brusco,6.5777196e-05
is_weekend,6.485418e-05
temp_extremo_frio,0.0
temp_muy_calor,0.0
temp_muy_frio,0.0
lluvia_intensa,0.0
temp_extrema_manana,0.0
