feature,importance
hour,0.40657905
Demanda_diff_1h,0.16415766
hour_cos,0.11321385
Demanda_ratio_vs_24h,0.08285447
Demanda_diff_24h,0.065963365
Demanda_lag_1h,0.055935565
Demanda_lag_24h,0.04821127
Demanda_rolling_mean_6h,0.046913907
Demanda_rolling_std_6h,0.0062138964
temporada_turistica_alta,0.002828257
day_of_week,0.0013244686
hour_sin,0.00091411825
Demanda_lag_2h,0.000880439
Demanda_rolling_mean_24h,0.0008558068
temperatura,0.0006028097
Demanda_rolling_std_24h,0.0005741139
month,0.00046888203
is_weekend,0.0004105832
day_of_week_cos,0.00036935197
Demanda_lag_168h,0.00035663584
day_of_week_sin,0.00023608732
feriado,0.0001354538
