variable,correlacion,correlacion_abs
hora_coseno,0.6486125088580266,0.6486125088580266
hora,-0.41909606026174373,0.41909606026174373
hora_seno,0.29850164416330816,0.29850164416330816
temp,-0.12406222450882795,0.12406222450882795
HR,0.09087795746760208,0.09087795746760208
Qin,-0.01545783444454172,0.01545783444454172
anio,0.013023178521461213,0.013023178521461213
mmhr,-0.012157375893921182,0.012157375893921182
dia_semana_coseno,0.010092869368706908,0.010092869368706908
vacaciones_escolares,-0.008518320452497317,0.008518320452497317
dia_semana,-0.007085652614508644,0.007085652614508644
mes,0.005774154370239756,0.005774154370239756
dia_semana_seno,0.005710166221751619,0.005710166221751619
fiestas_patrias,0.005029538833588727,0.005029538833588727
feriado_irrenunciable,0.00418633080576292,0.00418633080576292
festival_vina,0.003989585803987099,0.003989585803987099
elecciones,0.0026875559763452094,0.0026875559763452094
dia,0.0026706304389240315,0.0026706304389240315
feriado,-0.0023581405280851853,0.0023581405280851853
inicio_clases,0.0013555899684397153,0.0013555899684397153
feriado_movible,-0.0013397108531694288,0.0013397108531694288
anio_nuevo,0.000713071934803641,0.000713071934803641
temporada_turistica_alta,-0.000597488626945348,0.000597488626945348
es_fin_de_semana,-0.0005158010487919115,0.0005158010487919115
elecciones_primarias_comunal,,
