,Qin,Qin,Qin,Qin,Vol_Total,Vol_Total,Vol_Total,Vol_Total,Q_flujo,Q_flujo,Q_flujo,Q_flujo,Demanda,Demanda,Demanda,Demanda
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Hora,,,,,,,,,,,,,,,,
0,11779.26,1081.18,2592.0,14400.0,104480.15,11174.76,204.83,124615.4,3310.25,7804.98,-112555.34,111346.01,8118.44,5205.8,-100528.01,38851.1
1,11762.7,1083.48,2581.2,14378.4,108875.09,10807.4,877.15,128220.16,4403.53,8869.92,-106335.24,115614.28,7155.41,7776.37,-104641.48,109559.66
2,11737.13,1095.86,2275.2,14119.2,114546.85,9363.78,3401.55,129452.28,5671.76,5843.51,-17150.6,105542.93,6070.85,5744.94,-92068.13,27993.8
3,11658.78,1111.85,2152.8,14061.6,119414.7,11194.71,980.05,135250.88,4867.85,6755.28,-105440.02,23607.12,6778.53,6839.41,-12406.69,118896.82
4,11345.2,1076.01,1944.0,13712.4,125412.52,9400.2,3384.06,139007.56,5997.82,8178.63,-83644.98,121348.88,5315.22,8105.99,-109458.08,92846.58
5,11427.12,1030.07,2599.2,13770.0,130468.74,7994.91,47243.53,145476.63,5056.22,7888.53,-77714.11,132902.1,6372.48,7989.82,-122879.7,89032.51
6,11619.32,1061.99,2602.8,13802.4,133747.8,7368.69,54147.29,147452.68,3279.06,5079.89,-23981.95,82607.96,8335.23,5033.73,-70717.16,33997.15
7,11697.6,1075.73,2606.4,13651.2,135832.22,6756.12,67447.35,151836.11,2084.42,5190.76,-28206.2,81826.06,9614.27,5227.42,-70892.86,39463.4
8,11647.08,1129.2,1501.2,13633.2,135784.11,8211.54,43114.72,153879.78,-48.11,5706.02,-93808.72,28911.15,11695.08,5831.37,-19781.55,105569.92
9,11687.65,1024.95,2530.8,13986.0,133304.46,11017.21,3411.8,152515.94,-2479.65,9041.05,-139240.67,29842.88,14166.37,9099.79,-18038.48,150267.47
10,11766.74,956.78,2552.4,14155.2,129667.89,10601.68,3070.26,149520.29,-3636.57,10617.46,-126324.41,131372.72,15399.63,10643.8,-120518.72,138046.01
11,11815.34,916.71,5756.4,14360.4,125031.6,9722.35,3000.48,146653.4,-4636.29,5536.05,-31809.84,83790.43,16457.32,5662.85,-74700.43,42811.44
12,11843.42,887.74,8348.4,14371.2,119494.32,10578.98,2944.39,142219.08,-5537.28,6176.26,-115236.03,21509.76,17380.99,6294.17,-10497.36,127828.83
13,11894.29,877.74,9104.4,14389.2,114560.54,9933.17,2953.51,137361.93,-4933.78,7591.28,-104203.14,107045.59,16841.26,7667.89,-94989.19,116047.14
14,11886.54,885.84,9126.0,14450.4,110467.86,10894.5,2913.77,132898.36,-4092.68,7798.09,-104445.23,95272.6,15971.42,7882.08,-83507.8,117117.23
15,11900.57,881.77,9129.6,14446.8,107071.83,10749.62,2982.19,129095.14,-3396.03,8242.85,-86562.76,100446.85,15303.75,8359.79,-88631.65,99263.56
16,11924.61,867.1,9118.8,14414.4,104954.88,10485.68,3061.1,126512.75,-2116.95,5352.96,-76635.18,68238.8,14048.61,5403.38,-56348.0,89303.58
17,11930.14,867.53,9115.2,14414.4,103274.02,10977.79,1238.89,126101.06,-1680.86,4795.56,-70482.56,72112.69,13605.88,4890.64,-59465.89,84173.36
18,11897.41,894.69,9147.6,14428.8,101952.2,10307.99,1101.61,125009.26,-1321.82,2779.46,-21066.75,25590.67,13261.62,2665.47,-7838.91,32781.15
19,11904.09,906.97,9133.2,14468.4,100372.9,9756.47,1006.8,123401.35,-1579.31,5419.87,-73673.32,90412.04,13479.78,5471.92,-77750.84,84570.52
20,11903.53,966.27,4377.6,14486.4,99040.72,10024.74,949.93,123182.06,-1332.18,5126.49,-94281.56,54241.13,13095.23,3822.45,-43340.33,26652.33
21,11885.03,990.07,2624.4,14468.4,97820.7,11168.44,2448.29,124488.88,-1220.02,7074.19,-95591.49,29365.25,13155.05,7073.06,-6005.52,107489.49
22,11845.12,993.11,2610.0,14486.4,98767.01,9777.02,752.55,124354.29,946.31,7857.26,-90478.04,97363.98,10917.13,7933.91,-85458.78,103942.04
23,11828.33,1016.83,2617.2,14421.6,101174.23,10285.39,2637.48,124548.35,2407.22,7091.21,-102017.94,90047.62,9432.14,7096.77,-76583.62,113743.14
