fecha,n_outliers,horas,horas_consecutivas_max,tipo_evento,tipo_error_principal,tipos_error_dict
2024-01-01,2,"[np.int32(2), np.int32(5)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2024-01-03,3,"[np.int32(4), np.int32(16), np.int32(17)]",2,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2024-01-05,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-06,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-07,2,"[np.int32(2), np.int32(5)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2024-01-08,1,[np.int32(10)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2024-01-11,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-13,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-14,2,"[np.int32(1), np.int32(3)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-01-15,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-16,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-17,4,"[np.int32(2), np.int32(4), np.int32(13), np.int32(14)]",2,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 3, 'Demanda Extrema Alta (>30k)': 1}"
2024-01-18,4,"[np.int32(6), np.int32(13), np.int32(22), np.int32(23)]",2,Mixto (continuo + discontinuo),Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 2, 'Demanda Negativa': 2}"
2024-01-19,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-20,1,[np.int32(23)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-21,2,"[np.int32(5), np.int32(12)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-01-23,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-25,2,"[np.int32(2), np.int32(4)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2024-01-26,2,"[np.int32(15), np.int32(16)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-01-27,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-28,1,[np.int32(6)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-01-30,2,"[np.int32(9), np.int32(10)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2024-02-02,5,"[np.int32(15), np.int32(16), np.int32(17), np.int32(21), np.int32(22)]",4,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 3, 'Demanda Extrema Alta (>30k)': 2}"
2024-02-03,3,"[np.int32(0), np.int32(2), np.int32(14)]",0,Discontinuo,Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2024-02-04,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-02-06,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-02-09,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2024-02-14,3,"[np.int32(15), np.int32(21), np.int32(22)]",2,Mixto (continuo + discontinuo),Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 2, 'Demanda Negativa': 1}"
2024-02-16,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
