feature,importance,tipo
lluvia_intensa,0.3636402,Clima
precip_acum_3h,0.09270167,Clima
hora_coseno,0.07476842,Temporal
hora,0.061562523,Temporal
precip_lag_6h,0.049794972,Clima
temp_rolling_std_24h,0.041528873,Clima
precip_acum_6h,0.034854077,Clima
temp_rolling_std_6h,0.028034624,Clima
vacaciones_escolares,0.024747187,Temporal
hora_seno,0.017154122,Temporal
hr_lag_1h,0.012756553,Clima
temp_rolling_min_24h,0.012349056,Clima
sensacion_termica,0.010436183,Clima
temp_rolling_mean_24h,0.010397305,Clima
precip_acum_24h,0.010293829,Clima
temp_muy_baja,0.010265228,Clima
temp_diff_1h,0.009728129,Clima
temp_rolling_max_6h,0.009551685,Clima
hr_lag_2h,0.009394335,Clima
temp_lag_24h,0.008554373,Clima
hr_lag_24h,0.008070893,Clima
temp_rolling_min_6h,0.007828842,Clima
hr_rolling_mean_24h,0.007681204,Clima
temp_diff_24h,0.0076375976,Clima
hr_rolling_mean_6h,0.007546112,Clima
temp_rolling_mean_6h,0.007146952,Clima
temp_rolling_max_24h,0.006852012,Clima
dia_semana_seno,0.0066520595,Temporal
feriado_irrenunciable,0.006362966,Temporal
temp_lag_2h,0.0062465994,Clima
temp_lag_1h,0.0062094685,Clima
temporada_turistica_alta,0.0060030334,Temporal
dia_semana,0.005465535,Temporal
precip_lag_1h,0.005196482,Clima
dia_semana_coseno,0.0048933323,Temporal
temp_baja,0.0035972518,Clima
condiciones_adversas,0.0026199673,Clima
hr_alta,0.0014762849,Clima
feriado,0.0,Temporal
hr_muy_baja,0.0,Clima
temp_alta,0.0,Clima
