timestamp_utc,fecha_hora_local,Demanda_m3_hr,n_estanques_total,n_ceros,n_nulos,n_pegados,pct_ceros,pct_nulos,pct_pegados,pct_problemas_total
2025-04-23 09:00:00+00:00,2025-04-23 09:00:00+00:00,150267.4670953019,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2025-04-11 10:00:00+00:00,2025-04-11 10:00:00+00:00,138046.0062546452,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2025-04-14 12:00:00+00:00,2025-04-14 12:00:00+00:00,127828.8285186976,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2025-07-25 09:00:00+00:00,2025-07-25 09:00:00+00:00,125331.4968233117,89,0,66,1,0.0,74.15730337078652,1.1235955056179776,74.15730337078652
2025-02-11 03:00:00+00:00,2025-02-11 03:00:00+00:00,118896.81711399912,89,2,84,2,2.247191011235955,94.3820224719101,2.247191011235955,96.62921348314607
2025-03-12 14:00:00+00:00,2025-03-12 14:00:00+00:00,117117.2305910339,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2024-04-19 13:00:00+00:00,2024-04-19 13:00:00+00:00,116047.1373916741,89,1,76,1,1.1235955056179776,85.39325842696628,1.1235955056179776,86.51685393258427
2024-04-25 23:00:00+00:00,2024-04-25 23:00:00+00:00,113743.1432244586,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2025-02-11 01:00:00+00:00,2025-02-11 01:00:00+00:00,109559.66278318992,89,2,84,2,2.247191011235955,94.3820224719101,2.247191011235955,96.62921348314607
2024-07-22 21:00:00+00:00,2024-07-22 21:00:00+00:00,107489.48646235067,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2024-10-08 23:00:00+00:00,2024-10-08 23:00:00+00:00,105818.7175188834,89,0,84,0,0.0,94.3820224719101,0.0,94.3820224719101
2025-07-03 08:00:00+00:00,2025-07-03 08:00:00+00:00,105569.9220995299,89,0,64,2,0.0,71.91011235955057,2.247191011235955,71.91011235955057
2025-02-10 22:00:00+00:00,2025-02-10 22:00:00+00:00,103942.042863016,89,2,84,2,2.247191011235955,94.3820224719101,2.247191011235955,96.62921348314607
2025-04-16 10:00:00+00:00,2025-04-16 10:00:00+00:00,103103.9731329887,89,0,64,1,0.0,71.91011235955057,1.1235955056179776,71.91011235955057
2025-02-25 15:00:00+00:00,2025-02-25 15:00:00+00:00,99263.5569966166,89,1,62,2,1.1235955056179776,69.66292134831461,2.247191011235955,70.78651685393258
2024-03-20 21:00:00+00:00,2024-03-20 21:00:00+00:00,98459.504070968,89,1,69,2,1.1235955056179776,77.52808988764045,2.247191011235955,78.65168539325843
2024-01-30 09:00:00+00:00,2024-01-30 09:00:00+00:00,96711.727505298,89,1,45,4,1.1235955056179776,50.56179775280899,4.49438202247191,51.68539325842697
2025-07-22 14:00:00+00:00,2025-07-22 14:00:00+00:00,96541.091085323,89,0,62,2,0.0,69.66292134831461,2.247191011235955,69.66292134831461
2024-09-19 04:00:00+00:00,2024-09-19 04:00:00+00:00,92846.5823682706,89,0,64,0,0.0,71.91011235955057,0.0,71.91011235955057
2025-06-27 14:00:00+00:00,2025-06-27 14:00:00+00:00,90577.241526794,89,0,64,2,0.0,71.91011235955057,2.247191011235955,71.91011235955057
2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,89303.5758364379,89,2,53,4,2.247191011235955,59.55056179775281,4.49438202247191,61.79775280898876
2024-05-17 05:00:00+00:00,2024-05-17 05:00:00+00:00,89032.50725188802,89,0,57,1,0.0,64.04494382022472,1.1235955056179776,64.04494382022472
2024-02-02 15:00:00+00:00,2024-02-02 15:00:00+00:00,88743.321406154,89,1,60,2,1.1235955056179776,67.41573033707866,2.247191011235955,68.53932584269663
2024-05-29 15:00:00+00:00,2024-05-29 15:00:00+00:00,88136.96873361628,89,0,64,1,0.0,71.91011235955057,1.1235955056179776,71.91011235955057
2025-08-12 21:00:00+00:00,2025-08-12 21:00:00+00:00,88121.3542283138,89,0,56,1,0.0,62.92134831460674,1.1235955056179776,62.92134831460674
2025-05-13 19:00:00+00:00,2025-05-13 19:00:00+00:00,84570.51926702612,89,0,64,2,0.0,71.91011235955057,2.247191011235955,71.91011235955057
2024-02-02 17:00:00+00:00,2024-02-02 17:00:00+00:00,84173.356808694,89,1,85,1,1.1235955056179776,95.50561797752809,1.1235955056179776,96.62921348314607
2025-08-10 03:00:00+00:00,2025-08-10 03:00:00+00:00,73898.5517654763,89,0,47,1,0.0,52.80898876404494,1.1235955056179776,52.80898876404494
2025-04-11 21:00:00+00:00,2025-04-11 21:00:00+00:00,65856.35287226448,89,0,45,1,0.0,50.56179775280899,1.1235955056179776,50.56179775280899
2025-09-13 09:00:00+00:00,2025-09-13 09:00:00+00:00,60690.65442230558,89,0,32,1,0.0,35.95505617977528,1.1235955056179776,35.95505617977528
2024-07-04 10:00:00+00:00,2024-07-04 10:00:00+00:00,44649.07281554651,89,0,36,1,0.0,40.44943820224719,1.1235955056179776,40.44943820224719
2024-01-17 13:00:00+00:00,2024-01-17 13:00:00+00:00,39353.40095238732,89,2,16,5,2.247191011235955,17.97752808988764,5.617977528089887,20.224719101123593
2024-02-23 12:00:00+00:00,2024-02-23 12:00:00+00:00,38876.60671435519,89,1,32,1,1.1235955056179776,35.95505617977528,1.1235955056179776,37.07865168539326
2024-04-16 00:00:00+00:00,2024-04-16 00:00:00+00:00,38851.10104162651,89,1,28,1,1.1235955056179776,31.46067415730337,1.1235955056179776,32.58426966292135
2024-01-21 12:00:00+00:00,2024-01-21 12:00:00+00:00,38777.67406512113,89,2,25,5,2.247191011235955,28.08988764044944,5.617977528089887,30.337078651685395
2025-08-12 11:00:00+00:00,2025-08-12 11:00:00+00:00,38181.4045774124,89,0,22,3,0.0,24.719101123595504,3.3707865168539324,24.719101123595504
2024-02-14 21:00:00+00:00,2024-02-14 21:00:00+00:00,37430.25777099779,89,2,39,3,2.247191011235955,43.82022471910113,3.3707865168539324,46.06741573033708
2024-03-02 10:00:00+00:00,2024-03-02 10:00:00+00:00,36813.2589191032,89,1,41,1,1.1235955056179776,46.06741573033708,1.1235955056179776,47.19101123595505
2025-01-28 10:00:00+00:00,2025-01-28 10:00:00+00:00,35435.54746249471,89,2,30,3,2.247191011235955,33.70786516853933,3.3707865168539324,35.95505617977528
2024-02-14 15:00:00+00:00,2024-02-14 15:00:00+00:00,34913.0363425936,89,2,22,5,2.247191011235955,24.719101123595504,5.617977528089887,26.96629213483146
2024-01-26 15:00:00+00:00,2024-01-26 15:00:00+00:00,34605.64548319089,89,1,32,1,1.1235955056179776,35.95505617977528,1.1235955056179776,37.07865168539326
2024-02-02 16:00:00+00:00,2024-02-02 16:00:00+00:00,-34463.2458067851,89,1,45,3,1.1235955056179776,50.56179775280899,3.3707865168539324,51.68539325842697
