evento,clima,n,temp_media,Q_net_media,Qin_media,delta_Q_net,delta_Qin
Año Nuevo,Normal,23,13.456521739130437,1671.0480429532574,12952.95652173913,1392.83792306497,1182.5379259137026
Año Nuevo,Calor,22,19.504545454545454,-1895.3465131109742,12669.054545454543,-669.3034284224066,206.2151286078897
Fiestas Patrias,Frío,61,8.959016393442623,642.961730849473,10510.701639344261,505.2740360405995,-646.2056333830114
Fiestas Patrias,Normal,26,13.303846153846154,-1055.9981704035476,10923.784615384617,-1343.1887327922498,-853.3066388526713
Fiestas Patrias,Calor,5,17.62,486.0594351423004,11060.640000000001,1718.3069397681043,-1405.3028110722917
Festival Viña,Normal,171,14.31754385964912,567.2269840837838,12485.920958083832,291.40349584229614,728.2602447855188
Festival Viña,Calor,135,20.048888888888886,-735.2868402037979,12713.16279069767,513.1069948106702,258.0395213065094
Feriado (cualquiera),Frío,225,8.932,301.78495172270664,10807.12,165.7941043706164,-360.7726174496638
Feriado (cualquiera),Normal,334,12.947604790419161,-79.61437999853565,11411.16253776435,-379.1034461368501,-379.922554173414
Feriado (cualquiera),Calor,101,19.89207920792079,-1579.830731813247,12176.5900990099,-359.5322128710013,-295.4763285763056
Fin de Semana,Frío,1145,8.584978165938864,176.25320656965465,11135.95174825175,43.55085559914292,-15.142418101280782
Fin de Semana,Normal,2079,13.229581529581527,273.660827962994,11816.316699029125,-12.266095001949338,58.5084234253045
Fin de Semana,Calor,1081,20.206290471785383,-1246.3343574006085,12519.793077642656,-22.984657238160707,78.16055976535063
Vacaciones Escolares,Frío,268,7.72276119402985,318.05149568638194,11304.550746268655,185.29504593288445,170.00039246169035
Vacaciones Escolares,Normal,202,13.301980198019802,-809.1458791849759,11339.607920792077,-1122.0515028013158,-446.677063233481
Vacaciones Escolares,Calor,77,19.589610389610392,-1292.7267370463137,11458.612987012986,-64.0783727615094,-1026.6605673854792
