hora,mean,std,min,max,count
0,11.670643642072212,2.9566099691372565,3.3,21.9,637
1,11.429733959311426,2.8798824032213792,3.2,21.6,639
2,11.260250391236307,2.875414747224116,2.8,22.4,639
3,11.054616588419405,2.8315740721029887,2.3,21.3,639
4,10.894679186228482,2.8130912918625577,2.7,21.7,639
5,10.73223787167449,2.7743608656627305,2.1,21.2,639
6,10.661189358372457,2.776563779242258,1.9,21.5,639
7,10.590140845070422,2.754872539230136,2.0,20.9,639
8,11.013615023474179,2.899440965816805,2.5,21.1,639
9,12.274804381846636,3.274395861994486,3.4,22.8,639
10,14.068701095461659,3.5475175703699353,5.5,26.7,639
11,15.352895148669797,3.835960875315514,5.7,29.2,639
12,16.36776212832551,4.128415921976984,5.5,31.3,639
13,17.162128325508608,4.36626485881956,6.1,32.5,639
14,17.835524256651016,4.728364950882779,7.1,32.1,639
15,18.196713615023477,4.912865060353346,7.8,31.6,639
16,18.211424100156496,4.945303747999967,5.8,31.6,639
17,17.672456964006262,4.847397783396821,7.0,31.3,639
18,16.5547730829421,4.843080404962269,5.8,29.9,639
19,15.243348982785603,4.841948562585347,5.1,28.8,639
20,14.096394984326018,4.277398839202828,4.4,25.3,638
21,12.914397496087636,3.4231160397635527,3.9,22.5,639
22,12.38169014084507,3.171388493379067,3.8,21.6,639
23,11.970735524256652,3.053622843044063,3.2,21.2,639
